Title,Title_link,name,index,count,mark-neww,price-neww
GeForce RTX 2080 SUPER,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+SUPER&id=4123,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+RTX+2080+SUPER&id=4123,(38%),27.1,19485,719.99
GeForce GTX 1050,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1050&id=3596,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1050&id=3596,(36%),26.1,5215,199.99
GeForce GTX 960,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+960&id=3114,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+960&id=3114,(36%),25.6,6022,234.95
Radeon RX 6800,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6800&id=4314,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6800&id=4314,(35%),25.6,20995,819.99
GeForce GTX 750 Ti,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+750+Ti&id=2815,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+750+Ti&id=2815,(35%),25.5,3929,154.00
GeForce GTX 770,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+770&id=2531,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+770&id=2531,(33%),23.9,5870,245.55
GeForce GTX 560 Ti,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+560+Ti&id=18,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+560+Ti&id=18,(33%),23.7,3078,129.99
GeForce GTX 780 Ti,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+780+Ti&id=2717,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+780+Ti&id=2717,(33%),23.6,9174,389.00
Radeon HD 7870,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7870&id=324,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7870&id=324,(32%),23.4,4676,199.99
GeForce GT 1030,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GT+1030&id=3757,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GT+1030&id=3757,(31%),22.4,2615,116.97
GeForce GTX 660,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+660&id=2152,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+660&id=2152,(30%),22.0,3962,179.99
Quadro P2200,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P2200&id=4133,https://www.videocardbenchmark.net/gpu.php?gpu=Quadro+P2200&id=4133,(29%),21.1,9674,459.00
Radeon Pro W5500,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+W5500&id=4192,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+W5500&id=4192,(28%),20.6,9302,450.99
GeForce GTX 1070,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1070&id=3521,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1070&id=3521,(28%),20.6,13375,649.99
GeForce GTX 1070 Ti,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1070+Ti&id=3842,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1070+Ti&id=3842,(28%),20.3,14242,699.99
Radeon RX 460,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+460&id=3557,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+460&id=3557,(27%),19.6,4114,209.99
GeForce GTX 650,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+650&id=2155,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+650&id=2155,(27%),19.5,1758,90.00
Radeon HD 5830,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+5830&id=69,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+5830&id=69,(27%),19.5,1758,89.99
GeForce GTX 660 Ti,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+660+Ti&id=88,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+660+Ti&id=88,(26%),18.9,4350,229.99
Radeon HD 5870,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+5870&id=48,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+5870&id=48,(26%),18.8,2250,119.99
GeForce GTX 1080,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1080&id=3502,https://www.videocardbenchmark.net/gpu.php?gpu=GeForce+GTX+1080&id=3502,(26%),18.7,15047,804.47
Radeon HD 7770,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7770&id=322,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+HD+7770&id=322,(25%),18.2,2183,119.99
