Title,Title_link,name,index,count,mark-neww,Price
AMD Ryzen 3 1200,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+1200&id=3029,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+1200&id=3029,(57.7%),62.7,"6,268",$99.99
AMD Ryzen 7 3800X,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+3800X&id=3499,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+3800X&id=3499,(56.5%),61.4,"23,335",$379.99
Intel Core i7-10700 @ 2.90GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10700+%40+2.90GHz&id=3747,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10700+%40+2.90GHz&id=3747,(56.1%),60.9,"17,360",$284.99
AMD Ryzen 9 5900X,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+5900X&id=3870,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+5900X&id=3870,(55.9%),60.7,"39,480",$649.99
Intel Core i9-10850K @ 3.60GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10850K+%40+3.60GHz&id=3824,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10850K+%40+3.60GHz&id=3824,(55.9%),60.7,"23,366",$384.99
Intel Core i7-10700K @ 3.80GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10700K+%40+3.80GHz&id=3733,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-10700K+%40+3.80GHz&id=3733,(55.8%),60.6,"19,502",$321.76
Intel Core i5-10600 @ 3.30GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-10600+%40+3.30GHz&id=3750,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-10600+%40+3.30GHz&id=3750,(55.7%),60.5,"13,911",$229.99
Intel Core i9-10900F @ 2.80GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10900F+%40+2.80GHz&id=3798,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10900F+%40+2.80GHz&id=3798,(55.2%),60.0,"20,936",$348.99
Intel Core i7-11700F @ 2.50GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-11700F+%40+2.50GHz&id=4264,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-11700F+%40+2.50GHz&id=4264,(55.0%),59.8,"20,739",$347.00
Intel Core i5-10600K @ 4.10GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-10600K+%40+4.10GHz&id=3735,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-10600K+%40+4.10GHz&id=3735,(54.9%),59.7,"14,593",$244.64
